"full_date","n_obv","min_temp","min_temp_time","max_temp","max_temp_time","extreme_flag","extreme_type","n_low","n_high","n_low_run","n_high_run","first_low_time","last_low_time","first_high_time","last_high_time"
2010-01-01,50,22.1,2010-01-01 04:00:00,28.8,2010-01-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-01-01,55,18,2011-01-01 03:30:00,34.1,2011-01-01 11:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-01-01,49,12.9,2012-01-01 05:00:00,26,2012-01-01 11:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-01-01,49,19.9,2013-01-01 22:00:00,27.7,2013-01-01 15:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-01-01,49,17.1,2014-01-01 05:00:00,26.7,2014-01-01 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-01-01,51,17.8,2015-01-01 04:30:00,29.1,2015-01-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-01-01,49,15.2,2016-01-01 05:00:00,26,2016-01-01 11:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-01-01,49,22.5,2017-01-01 00:30:00,27.2,2017-01-01 10:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-01-01,57,19.5,2018-01-01 05:00:00,28.1,2018-01-01 09:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-01-01,52,21.7,2019-01-01 05:00:00,32.8,2019-01-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-01-01,49,19.1,2020-01-01 02:00:00,24.7,2020-01-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2021-01-01,51,17.3,2021-01-01 23:00:00,21.4,2021-01-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-10-01,48,6.2,2010-10-01 04:00:00,18,2010-10-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-10-01,48,6.2,2011-10-01 05:00:00,18.9,2011-10-01 11:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-10-01,48,7.9,2012-10-01 05:30:00,19.6,2012-10-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-10-01,57,12.5,2013-10-01 03:00:00,31.6,2013-10-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-10-01,50,11.3,2014-10-01 23:30:00,24.3,2014-10-01,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-10-01,52,13.5,2015-10-01 04:30:00,24.5,2015-10-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-10-01,51,10.5,2016-10-01 22:00:00,21.2,2016-10-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-10-01,48,8.3,2017-10-01 05:00:00,22.7,2017-10-01 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-10-01,48,7.7,2018-10-01 06:00:00,20.6,2018-10-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-10-01,48,8.7,2019-10-01 03:30:00,20,2019-10-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-10-01,49,10.2,2020-10-02,25.1,2020-10-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-11-01,58,14.3,2010-11-01 23:30:00,20,2010-11-01 02:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-11-01,50,14.8,2011-11-01 01:30:00,19.8,2011-11-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-11-01,49,13.4,2012-11-01 03:30:00,32.1,2012-11-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-11-01,48,16.2,2013-11-01 23:30:00,22.6,2013-11-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-11-01,71,17.9,2014-11-01 23:30:00,34.3,2014-11-01 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-11-01,53,15.3,2015-11-01 01:30:00,28.2,2015-11-01 11:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-11-01,48,10.3,2016-11-01 05:00:00,22.8,2016-11-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-11-01,48,12.1,2017-11-01 05:30:00,20.4,2017-11-01 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-11-01,48,17.8,2018-11-01 05:00:00,27.7,2018-11-01 11:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-11-01,48,12.9,2019-11-01 05:00:00,25.9,2019-11-01 11:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
