"full_date","n_obv","min_temp","min_temp_time","max_temp","max_temp_time"
2010-01-01,50,22.1,"1/1/2010 4:00",28.8,"1/1/2010 14:30"
2010-01-02,51,22.2,"2/1/2010 23:30",29.4,"2/1/2010 11:00"
2010-01-03,58,17.9,"3/1/2010 23:30",21.6,"2/1/2010 23:55"
2010-01-04,54,17.9,"4/1/2010 0:00",23.9,"4/1/2010 15:30"
2010-01-05,48,15.4,"5/1/2010 5:00",27.7,"5/1/2010 13:30"
2010-01-06,49,20.3,"6/1/2010 23:30",25.6,"6/1/2010 13:00"
2010-01-07,48,20.5,"7/1/2010 0:00",23.6,"7/1/2010 14:30"
2010-01-08,52,19.7,"8/1/2010 4:30",26.3,"8/1/2010 14:30"
2010-01-09,48,18.3,"9/1/2010 5:00",36.3,"9/1/2010 13:00"
2010-01-10,47,22.1,"10/1/2010 2:30",29.5,"10/1/2010 8:30"
2010-01-11,47,21.7,"11/1/2010 3:30",26.4,"11/1/2010 12:30"
2010-01-12,48,23.1,"12/1/2010 5:00",32,"12/1/2010 13:30"
2010-01-13,59,19,"13/1/2010 19:30",27.1,"13/1/2010 0:00"
2010-01-14,51,19.3,"14/1/2010 0:00",22.3,"14/1/2010 15:30"
2010-01-15,53,19.7,"15/1/2010 1:30",25,"15/1/2010 15:30"
2010-01-16,47,20.9,"16/1/2010 4:30",27.2,"16/1/2010 12:00"
2010-01-17,48,17.3,"17/1/2010 5:00",26.6,"17/1/2010 11:30"
2010-01-18,58,14.7,"18/1/2010 5:00",24.8,"18/1/2010 15:00"
2010-01-19,46,14.5,"19/1/2010 5:00",25.3,"19/1/2010 12:30"
2010-01-20,47,12,"20/1/2010 5:00",31.2,"20/1/2010 12:30"
2010-01-21,53,17.4,"21/1/2010 5:00",31,"21/1/2010 14:30"
2010-01-22,50,21.2,"22/1/2010 5:30",36.2,"22/1/2010 12:00"
2010-01-23,59,21.2,"23/1/2010 23:30",41.1,"23/1/2010 13:30"
2010-01-24,57,17.7,"24/1/2010 4:30",23,"24/1/2010 13:00"
2010-01-25,48,19.2,"25/1/2010 5:00",27.7,"25/1/2010 13:00"
2010-01-26,50,23.1,"26/1/2010 4:58",32.1,"26/1/2010 14:30"
2010-01-27,50,21.9,"27/1/2010 22:30",26.6,"27/1/2010 12:30"
2010-01-28,50,20.5,"28/1/2010 23:30",27.1,"28/1/2010 10:30"
2010-01-29,54,18,"29/1/2010 5:44",27.4,"29/1/2010 13:30"
2010-01-30,48,20.5,"30/1/2010 5:00",26.8,"30/1/2010 13:00"
2010-01-31,52,20.6,"31/1/2010 3:58",28.5,"31/1/2010 13:30"
2010-02-01,49,19.6,"1/2/2010 5:30",29.2,"1/2/2010 12:30"
2010-02-02,58,21.1,"2/2/2010 21:30",26.9,"2/2/2010 11:00"
2010-02-03,70,21.3,"3/2/2010 1:30",28,"3/2/2010 13:00"
2010-02-04,68,22.3,"4/2/2010 1:21",27.8,"4/2/2010 12:30"
2010-02-05,57,21.2,"5/2/2010 23:30",28.4,"5/2/2010 11:30"
2010-02-06,83,20.3,"6/2/2010 4:30",23.2,"6/2/2010 14:46"
2010-02-07,73,20.1,"7/2/2010 5:17",25.4,"7/2/2010 13:30"
2010-02-08,58,21.5,"8/2/2010 7:30",27.6,"8/2/2010 12:00"
2010-02-09,47,21.5,"9/2/2010 4:30",28.5,"9/2/2010 14:30"
2010-02-10,52,19,"10/2/2010 5:26",29.8,"10/2/2010 13:30"
2010-02-11,48,19.4,"11/2/2010 5:00",30.3,"11/2/2010 11:30"
2010-02-12,57,21.5,"12/2/2010 5:30",36.8,"12/2/2010 14:00"
2010-02-13,52,21.4,"13/2/2010 5:30",26.2,"13/2/2010 14:00"
2010-02-14,57,20.4,"14/2/2010 19:00",27.3,"14/2/2010 16:30"
2010-02-15,57,20.1,"15/2/2010 5:30",32.8,"15/2/2010 15:30"
2010-02-16,53,20,"16/2/2010 23:30",25.1,"16/2/2010 13:30"
2010-02-17,46,17.4,"17/2/2010 5:30",24.5,"17/2/2010 13:30"
2010-02-18,45,16.6,"18/2/2010 3:30",24.2,"18/2/2010 12:30"
2010-02-19,47,16.8,"19/2/2010 1:00",25.2,"19/2/2010 13:00"
2010-02-20,46,16.2,"20/2/2010 5:00",27.5,"20/2/2010 13:30"
2010-02-21,48,18.3,"21/2/2010 5:30",32.9,"21/2/2010 13:00"
2010-02-22,48,19.7,"22/2/2010 6:00",35.4,"22/2/2010 16:00"
2010-02-23,51,21.1,"23/2/2010 22:00",28.3,"23/2/2010 0:00"
2010-02-24,45,20,"24/2/2010 20:00",23.9,"24/2/2010 13:30"
2010-02-25,49,14.6,"25/2/2010 5:30",25.1,"25/2/2010 11:30"
2010-02-26,49,15.5,"26/2/2010 3:00",25.9,"26/2/2010 14:30"
2010-02-27,50,15.2,"27/2/2010 4:34",29.1,"27/2/2010 14:00"
2010-02-28,51,19,"28/2/2010 4:30",27.2,"28/2/2010 13:00"
2010-03-01,66,16.7,"1/3/2010 12:30",20.5,"1/3/2010 0:00"
2010-03-02,49,18,"2/3/2010 3:30",21.1,"2/3/2010 12:30"
2010-03-03,48,14.9,"3/3/2010 5:00",23,"3/3/2010 16:30"
2010-03-04,49,14,"4/3/2010 3:30",25.7,"4/3/2010 14:00"
2010-03-05,60,20.9,"5/3/2010 21:00",25,"5/3/2010 9:30"
2010-03-06,53,20.6,"6/3/2010 1:56",28.4,"6/3/2010 12:30"
2010-03-07,51,21.2,"7/3/2010 0:00",26.9,"7/3/2010 11:00"
2010-03-08,48,20.9,"8/3/2010 6:00",30.1,"8/3/2010 11:00"
2010-03-09,45,17.8,"9/3/2010 2:30",29.2,"9/3/2010 14:30"
2010-03-10,47,18.5,"10/3/2010 1:00",20.8,"10/3/2010 17:00"
2010-03-11,46,17.5,"11/3/2010 6:00",22.4,"11/3/2010 14:00"
2010-03-12,48,18.1,"12/3/2010 4:30",22.7,"12/3/2010 14:30"
2010-03-13,56,14.4,"13/3/2010 6:00",23.2,"13/3/2010 13:00"
2010-03-14,47,14.9,"14/3/2010 5:30",23.2,"14/3/2010 13:30"
2010-03-15,48,15.5,"15/3/2010 6:00",25.8,"15/3/2010 14:30"
2010-03-16,53,13.9,"16/3/2010 5:00",27.4,"16/3/2010 13:00"
2010-03-17,53,12.2,"17/3/2010 6:00",26.9,"17/3/2010 13:30"
2010-03-18,50,13.8,"18/3/2010 5:00",27.9,"18/3/2010 13:00"
2010-03-19,56,14.3,"19/3/2010 6:00",30.7,"19/3/2010 13:30"
2010-03-20,47,16.8,"20/3/2010 5:00",30.4,"20/3/2010 14:00"
2010-03-21,50,16.7,"21/3/2010 6:00",34.7,"21/3/2010 14:30"
2010-03-22,40,19.7,"22/3/2010 7:09",23.7,"22/3/2010 15:00"
2010-03-23,47,15.8,"23/3/2010 6:00",29.2,"23/3/2010 14:00"
2010-03-24,48,17.3,"24/3/2010 6:00",25.2,"24/3/2010 12:00"
2010-03-25,47,16.3,"25/3/2010 6:30",26.5,"25/3/2010 13:30"
2010-03-26,54,17.5,"26/3/2010 3:30",34.3,"26/3/2010 14:00"
