"full_date","min_temp","max_temp","extreme_flag","extreme_type"
2010-01-09,18.3,36.3,TRUE,"Hot"
2010-01-22,21.2,36.2,TRUE,"Hot"
2010-01-23,21.2,41.1,TRUE,"Hot"
2010-02-12,21.5,36.8,TRUE,"Hot"
2010-02-22,19.7,35.4,TRUE,"Hot"
2010-06-09,4.6,16.6,TRUE,"Cold"
2010-06-11,3.6,17,TRUE,"Cold"
2010-06-14,3,18,TRUE,"Cold"
2010-06-15,4.1,19,TRUE,"Cold"
2010-06-19,3.1,19.3,TRUE,"Cold"
2010-06-20,4.6,18.8,TRUE,"Cold"
2010-06-21,4.9,16.8,TRUE,"Cold"
2010-06-27,3.9,14.8,TRUE,"Cold"
2010-06-28,2.7,15.4,TRUE,"Cold"
2010-06-29,-0.3,13.9,TRUE,"Cold"
2010-06-30,-0.5,15.7,TRUE,"Cold"
2010-07-01,1.6,16.9,TRUE,"Cold"
2010-07-02,3.2,12.1,TRUE,"Cold"
2010-07-10,4.6,17.3,TRUE,"Cold"
2010-07-18,2.8,19,TRUE,"Cold"
2010-07-21,4,15,TRUE,"Cold"
2010-08-01,4.8,20.3,TRUE,"Cold"
2010-08-02,4.9,14.9,TRUE,"Cold"
2010-08-05,3.1,14.4,TRUE,"Cold"
2010-08-06,3.9,15.9,TRUE,"Cold"
2010-08-08,4,17.4,TRUE,"Cold"
2010-08-09,3.3,18.1,TRUE,"Cold"
2010-08-14,4.5,20.6,TRUE,"Cold"
2010-08-17,4.4,17.1,TRUE,"Cold"
2010-08-18,2.8,18.9,TRUE,"Cold"
2010-09-18,4.9,21.8,TRUE,"Cold"
2011-01-31,19.4,35.7,TRUE,"Hot"
2011-02-01,20.5,40.6,TRUE,"Hot"
2011-02-03,24.4,36.7,TRUE,"Hot"
2011-02-05,23.6,40.7,TRUE,"Hot"
2011-05-11,2,15.2,TRUE,"Cold"
2011-05-12,3.5,16.2,TRUE,"Cold"
2011-05-15,4.7,18.5,TRUE,"Cold"
2011-05-16,3.1,19.3,TRUE,"Cold"
2011-05-17,3.8,18.1,TRUE,"Cold"
2011-05-27,3.6,17.1,TRUE,"Cold"
2011-06-06,3.5,17.1,TRUE,"Cold"
2011-06-07,4,14.4,TRUE,"Cold"
2011-06-08,3.8,13.4,TRUE,"Cold"
2011-06-10,4,15.8,TRUE,"Cold"
2011-06-17,4.6,18,TRUE,"Cold"
2011-06-18,4.8,17,TRUE,"Cold"
2011-06-19,4.9,17.9,TRUE,"Cold"
2011-06-20,3.1,18.9,TRUE,"Cold"
2011-06-24,2.9,17.5,TRUE,"Cold"
2011-06-25,4.7,18.8,TRUE,"Cold"
2011-06-26,3.7,20,TRUE,"Cold"
2011-06-27,1.8,18.3,TRUE,"Cold"
2011-07-08,1,16.2,TRUE,"Cold"
2011-07-09,3.7,16,TRUE,"Cold"
2011-07-10,2.9,15.9,TRUE,"Cold"
2011-07-11,3.6,16.7,TRUE,"Cold"
2011-07-12,3.4,17.8,TRUE,"Cold"
2011-07-15,4,13.3,TRUE,"Cold"
2011-07-24,4.9,14.5,TRUE,"Cold"
2011-07-26,3.8,17.6,TRUE,"Cold"
2011-07-27,4.4,16.3,TRUE,"Cold"
2011-07-28,4.6,19.2,TRUE,"Cold"
2011-07-29,3.8,19.1,TRUE,"Cold"
2011-07-30,3.2,19.7,TRUE,"Cold"
2011-07-31,3.5,19.8,TRUE,"Cold"
2011-08-02,4.9,22.1,TRUE,"Cold"
2011-08-09,4.5,15.4,TRUE,"Cold"
2011-08-10,3.3,17.3,TRUE,"Cold"
2011-08-11,2.1,16.6,TRUE,"Cold"
2011-08-13,4.6,18.5,TRUE,"Cold"
2011-09-13,4,22.9,TRUE,"Cold"
2011-09-14,4.7,25.7,TRUE,"Cold"
2011-11-14,16.5,36.3,TRUE,"Hot"
2012-01-04,18.8,35.5,TRUE,"Hot"
2012-05-23,3.7,21.7,TRUE,"Cold"
2012-05-24,4,14.5,TRUE,"Cold"
2012-06-08,3.8,16.6,TRUE,"Cold"
2012-06-09,4,17.3,TRUE,"Cold"
2012-06-18,4.6,18.2,TRUE,"Cold"
2012-06-19,4.1,18.7,TRUE,"Cold"
2012-06-20,4.6,16.8,TRUE,"Cold"
2012-06-21,2.6,17.6,TRUE,"Cold"
2012-06-23,4.6,16.3,TRUE,"Cold"
2012-06-24,2.8,17.4,TRUE,"Cold"
2012-06-25,1.7,18.9,TRUE,"Cold"
2012-06-30,4.8,19.2,TRUE,"Cold"
2012-07-02,2,15.7,TRUE,"Cold"
2012-07-09,4.2,17.9,TRUE,"Cold"
2012-07-15,4.6,17,TRUE,"Cold"
2012-07-17,3.9,19.9,TRUE,"Cold"
2012-07-19,3.9,14.1,TRUE,"Cold"
2012-07-20,4.7,15.6,TRUE,"Cold"
2012-07-27,4.7,17.1,TRUE,"Cold"
2012-07-29,4.7,15.2,TRUE,"Cold"
2012-08-02,4.3,15.5,TRUE,"Cold"
2012-08-03,3.1,17.6,TRUE,"Cold"
2012-08-04,1.3,19.5,TRUE,"Cold"
2012-08-05,1.6,20.8,TRUE,"Cold"
2012-08-06,4.8,17.4,TRUE,"Cold"
2012-08-07,4,17.3,TRUE,"Cold"
2012-08-08,0.7,20.8,TRUE,"Cold"
2012-08-14,3.7,18,TRUE,"Cold"
2012-08-15,3.3,21.7,TRUE,"Cold"
2012-08-17,3.2,21.2,TRUE,"Cold"
2012-08-19,4.9,18.7,TRUE,"Cold"
2012-08-20,3.4,18.2,TRUE,"Cold"
2012-08-26,3.2,19.6,TRUE,"Cold"
2012-08-28,4.5,19.5,TRUE,"Cold"
2012-09-01,2.9,15.9,TRUE,"Cold"
2012-09-03,4,20.3,TRUE,"Cold"
2012-09-04,3.9,23.7,TRUE,"Cold"
2012-09-05,4.5,27.2,TRUE,"Cold"
2012-09-10,4.7,24.1,TRUE,"Cold"
2012-09-30,4.4,20.4,TRUE,"Cold"
2012-12-01,23.2,35.6,TRUE,"Hot"
2013-01-08,18.7,40.3,TRUE,"Hot"
2013-01-18,20.3,44.4,TRUE,"Hot"
2013-05-15,4.1,19.9,TRUE,"Cold"
2013-05-18,4.9,18.7,TRUE,"Cold"
2013-05-20,4.8,19.6,TRUE,"Cold"
2013-07-04,2.8,22.6,TRUE,"Cold"
2013-07-05,4.2,19,TRUE,"Cold"
2013-07-06,3.1,16.8,TRUE,"Cold"
2013-07-07,2.8,17.6,TRUE,"Cold"
2013-07-08,2.5,17.9,TRUE,"Cold"
2013-07-11,4.8,17.4,TRUE,"Cold"
2013-07-12,4.9,19.6,TRUE,"Cold"
2013-07-13,4.8,16.6,TRUE,"Cold"
2013-07-14,4.5,18.7,TRUE,"Cold"
2013-07-21,4.3,15.8,TRUE,"Cold"
2013-07-22,2.4,16.7,TRUE,"Cold"
2013-07-23,1.7,16.8,TRUE,"Cold"
2013-07-26,4.1,19.3,TRUE,"Cold"
2013-07-27,3.7,18.6,TRUE,"Cold"
2013-07-28,3.9,18.8,TRUE,"Cold"
2013-08-11,4.6,21.6,TRUE,"Cold"
2013-08-13,2.9,21.5,TRUE,"Cold"
2013-08-16,2.6,20.2,TRUE,"Cold"
2013-08-18,4.5,21.9,TRUE,"Cold"
2013-08-22,1.8,17.5,TRUE,"Cold"
2013-10-10,12.9,35.7,TRUE,"Hot"
2013-11-08,14.4,35.2,TRUE,"Hot"
2013-12-20,17.3,38.2,TRUE,"Hot"
2013-12-23,20.4,35.6,TRUE,"Hot"
2014-01-02,21,35.7,TRUE,"Hot"
2014-06-16,4.6,19,TRUE,"Cold"
2014-06-26,4.6,20.7,TRUE,"Cold"
2014-06-27,4.2,19.6,TRUE,"Cold"
2014-07-01,4.8,17.8,TRUE,"Cold"
2014-07-02,4.7,18.3,TRUE,"Cold"
2014-07-03,2.7,18.9,TRUE,"Cold"
2014-07-04,2.3,20.8,TRUE,"Cold"
2014-07-05,2.4,17.4,TRUE,"Cold"
2014-07-07,4.4,18.1,TRUE,"Cold"
2014-07-08,4,18.2,TRUE,"Cold"
2014-07-09,0.2,20.4,TRUE,"Cold"
2014-07-10,3.6,16.5,TRUE,"Cold"
2014-07-12,0.7,17.7,TRUE,"Cold"
2014-07-14,2.8,16.7,TRUE,"Cold"
2014-07-17,3.5,18.9,TRUE,"Cold"
2014-07-18,4.3,15,TRUE,"Cold"
2014-07-23,4.7,18,TRUE,"Cold"
2014-07-24,4.7,18.6,TRUE,"Cold"
2014-07-27,4.7,19.2,TRUE,"Cold"
2014-08-02,4.4,14.3,TRUE,"Cold"
2014-08-03,2.1,15.4,TRUE,"Cold"
2014-08-04,2.4,17.7,TRUE,"Cold"
2014-08-05,3.6,18.3,TRUE,"Cold"
2014-08-06,1.8,20.7,TRUE,"Cold"
2014-08-11,4.4,12.8,TRUE,"Cold"
2014-08-15,4.5,17.6,TRUE,"Cold"
2014-08-16,4.9,16.2,TRUE,"Cold"
2014-11-14,15.5,37.4,TRUE,"Hot"
2014-11-21,19.7,38.1,TRUE,"Hot"
2015-01-25,20,35.1,TRUE,"Hot"
2015-05-10,4.5,19.7,TRUE,"Cold"
2015-05-14,1.9,16.9,TRUE,"Cold"
2015-05-26,4.3,17.5,TRUE,"Cold"
2015-06-01,4.7,14.4,TRUE,"Cold"
2015-06-02,2.7,14.9,TRUE,"Cold"
2015-06-03,3.8,16.5,TRUE,"Cold"
2015-06-04,4.2,16.7,TRUE,"Cold"
2015-06-05,4.9,15.4,TRUE,"Cold"
2015-06-07,4.8,20.5,TRUE,"Cold"
2015-06-23,4.2,18.9,TRUE,"Cold"
2015-06-27,4.5,18.5,TRUE,"Cold"
2015-06-28,3.2,17.3,TRUE,"Cold"
2015-06-30,4.8,18.6,TRUE,"Cold"
2015-07-02,2.5,15.4,TRUE,"Cold"
2015-07-03,3.3,13.9,TRUE,"Cold"
2015-07-04,1.9,15,TRUE,"Cold"
2015-07-05,2.6,17.4,TRUE,"Cold"
2015-07-06,0.7,15.7,TRUE,"Cold"
2015-07-07,4,14.3,TRUE,"Cold"
2015-07-08,4.9,13.9,TRUE,"Cold"
2015-07-09,2.1,16.3,TRUE,"Cold"
2015-07-10,2.9,14.6,TRUE,"Cold"
2015-07-11,2.5,18,TRUE,"Cold"
2015-07-15,0.7,15,TRUE,"Cold"
2015-07-16,4.9,11.7,TRUE,"Cold"
2015-07-21,4.3,18.1,TRUE,"Cold"
2015-07-28,3,16.9,TRUE,"Cold"
2015-07-30,3.9,18.7,TRUE,"Cold"
2015-08-01,3.5,21.3,TRUE,"Cold"
2015-08-03,4.2,17.4,TRUE,"Cold"
2015-08-04,3.6,13.7,TRUE,"Cold"
2015-08-05,3.4,14.5,TRUE,"Cold"
2015-08-06,3.9,15.6,TRUE,"Cold"
2015-08-07,3.9,17.2,TRUE,"Cold"
2015-08-09,2.9,17.7,TRUE,"Cold"
2015-08-10,4,20.2,TRUE,"Cold"
2015-08-11,3.7,19.3,TRUE,"Cold"
2015-08-12,2.4,17.1,TRUE,"Cold"
2015-08-14,2.6,19.1,TRUE,"Cold"
2015-08-17,4.5,19.8,TRUE,"Cold"
2015-08-20,4.1,20.3,TRUE,"Cold"
2015-09-01,4.2,17.6,TRUE,"Cold"
2015-09-02,4,19.3,TRUE,"Cold"
2015-10-05,12.1,36.1,TRUE,"Hot"
2015-10-06,14.1,35.4,TRUE,"Hot"
2015-11-18,13.2,35.3,TRUE,"Hot"
2015-11-20,20.7,40.4,TRUE,"Hot"
2015-11-26,17.3,36.7,TRUE,"Hot"
2015-12-01,16.2,37.3,TRUE,"Hot"
2016-01-14,15.8,39.1,TRUE,"Hot"
2016-01-20,18.5,37.6,TRUE,"Hot"
2016-01-21,22.6,36.1,TRUE,"Hot"
2016-02-14,18.9,35.9,TRUE,"Hot"
2016-02-25,19.2,37.7,TRUE,"Hot"
2016-05-25,4.7,20.7,TRUE,"Cold"
2016-05-28,3.8,15.2,TRUE,"Cold"
2016-05-29,3.8,18.4,TRUE,"Cold"
2016-06-16,4.9,20.9,TRUE,"Cold"
2016-06-26,3.8,14.1,TRUE,"Cold"
2016-06-29,4.2,19.1,TRUE,"Cold"
2016-06-30,0.8,16.4,TRUE,"Cold"
2016-07-01,4.9,16.3,TRUE,"Cold"
2016-07-02,4.3,17.4,TRUE,"Cold"
2016-07-03,3.3,17.1,TRUE,"Cold"
2016-07-04,1.2,15.1,TRUE,"Cold"
2016-07-14,4,16.3,TRUE,"Cold"
2016-07-15,2.9,16.9,TRUE,"Cold"
2016-07-25,3.5,17.2,TRUE,"Cold"
2016-07-26,3.7,18,TRUE,"Cold"
2016-07-29,4.6,18.4,TRUE,"Cold"
2016-08-09,4.4,18.7,TRUE,"Cold"
2016-08-12,4.6,17.6,TRUE,"Cold"
2016-08-13,4,19.5,TRUE,"Cold"
2016-08-14,4.3,18.9,TRUE,"Cold"
2016-08-21,3.5,19.4,TRUE,"Cold"
2016-08-28,3.9,19.4,TRUE,"Cold"
2016-12-02,14.8,35.6,TRUE,"Hot"
2016-12-13,19.4,38.1,TRUE,"Hot"
2016-12-14,20.3,36.1,TRUE,"Hot"
2016-12-29,21.5,38.2,TRUE,"Hot"
2017-01-11,22.3,40.7,TRUE,"Hot"
2017-01-17,18.6,38.2,TRUE,"Hot"
2017-01-18,19.7,38,TRUE,"Hot"
2017-01-24,20.8,36.5,TRUE,"Hot"
2017-01-30,21.7,39.7,TRUE,"Hot"
2017-01-31,21.1,39.6,TRUE,"Hot"
2017-02-05,25.5,40.2,TRUE,"Hot"
2017-02-10,21.3,42.9,TRUE,"Hot"
2017-02-11,22.7,39.1,TRUE,"Hot"
2017-05-30,2.5,17.3,TRUE,"Cold"
2017-06-06,4.6,16.7,TRUE,"Cold"
2017-06-25,3.3,18.3,TRUE,"Cold"
2017-06-26,3.2,18.4,TRUE,"Cold"
2017-07-01,4.1,15.1,TRUE,"Cold"
2017-07-02,2.7,16.6,TRUE,"Cold"
2017-07-03,2.3,14.4,TRUE,"Cold"
2017-07-06,4.5,17.5,TRUE,"Cold"
2017-07-07,2.3,18.1,TRUE,"Cold"
2017-07-08,1.4,17.3,TRUE,"Cold"
2017-07-09,1.9,17.2,TRUE,"Cold"
2017-07-10,1.3,17,TRUE,"Cold"
2017-07-11,4.3,16.8,TRUE,"Cold"
2017-07-14,3.5,19.8,TRUE,"Cold"
2017-07-16,4.1,17,TRUE,"Cold"
2017-07-17,3.6,18.1,TRUE,"Cold"
2017-07-18,3.4,22.8,TRUE,"Cold"
2017-07-20,4.5,16.3,TRUE,"Cold"
2017-07-21,4.8,16.2,TRUE,"Cold"
2017-07-22,3,18.2,TRUE,"Cold"
2017-07-23,1.7,21.6,TRUE,"Cold"
2017-07-24,4.2,19.8,TRUE,"Cold"
2017-07-25,2.6,20,TRUE,"Cold"
2017-07-29,3.2,20,TRUE,"Cold"
2017-07-30,4.9,25.7,TRUE,"Cold"
2017-08-02,2.6,16.8,TRUE,"Cold"
2017-08-10,4.9,23.4,TRUE,"Cold"
2017-08-17,4.3,21.8,TRUE,"Cold"
2017-08-20,4.7,15,TRUE,"Cold"
2017-08-23,4.2,21.2,TRUE,"Cold"
2017-08-24,4.3,17.1,TRUE,"Cold"
2017-08-27,4.3,18.6,TRUE,"Cold"
2017-09-02,4.7,21.7,TRUE,"Cold"
2017-09-10,4.7,18.2,TRUE,"Cold"
2017-09-18,4.8,24.6,TRUE,"Cold"
2017-12-14,19.5,39,TRUE,"Hot"
2017-12-20,21.4,38.7,TRUE,"Hot"
2017-12-24,19.2,39.8,TRUE,"Hot"
2018-01-07,20.1,43.9,TRUE,"Hot"
2018-01-08,22.1,35.2,TRUE,"Hot"
2018-01-20,13.4,35.5,TRUE,"Hot"
2018-01-22,17.9,35.5,TRUE,"Hot"
2018-02-14,21.8,38.5,TRUE,"Hot"
2018-03-18,17.4,38.8,TRUE,"Hot"
2018-04-09,16.8,35.2,TRUE,"Hot"
2018-05-31,4.6,17.4,TRUE,"Cold"
2018-06-14,4.5,18.7,TRUE,"Cold"
2018-06-16,4,17.9,TRUE,"Cold"
2018-06-22,4.9,18.9,TRUE,"Cold"
2018-06-23,3.7,19.4,TRUE,"Cold"
2018-06-24,3.9,15.8,TRUE,"Cold"
2018-06-25,4.3,16.7,TRUE,"Cold"
2018-06-26,3.3,16.6,TRUE,"Cold"
2018-06-30,2.8,19,TRUE,"Cold"
2018-07-01,3.4,16.6,TRUE,"Cold"
2018-07-07,3.7,17.2,TRUE,"Cold"
2018-07-11,3.7,17.8,TRUE,"Cold"
2018-07-12,3.4,18.5,TRUE,"Cold"
2018-07-13,3.5,17.1,TRUE,"Cold"
2018-07-14,3.7,16.6,TRUE,"Cold"
2018-07-15,1.5,17.4,TRUE,"Cold"
2018-07-16,-1.3,17.2,TRUE,"Cold"
2018-07-17,1.6,22,TRUE,"Cold"
2018-07-18,3.9,20.6,TRUE,"Cold"
2018-07-19,0.2,20.8,TRUE,"Cold"
2018-07-20,3.3,19.5,TRUE,"Cold"
2018-07-21,3.9,17.2,TRUE,"Cold"
2018-07-22,1.5,16.8,TRUE,"Cold"
2018-07-23,0.6,19.4,TRUE,"Cold"
2018-07-25,3.8,22.1,TRUE,"Cold"
2018-07-26,3.6,19.6,TRUE,"Cold"
2018-07-27,2.8,20.6,TRUE,"Cold"
2018-07-28,3.8,21,TRUE,"Cold"
2018-07-31,2,20.7,TRUE,"Cold"
2018-08-01,4,20.5,TRUE,"Cold"
2018-08-02,4.9,18.3,TRUE,"Cold"
2018-08-03,4.8,22.6,TRUE,"Cold"
2018-08-05,2.4,19.9,TRUE,"Cold"
2018-08-08,2.5,19,TRUE,"Cold"
2018-08-09,3.7,18.7,TRUE,"Cold"
2018-08-10,4.2,22.3,TRUE,"Cold"
2018-08-17,2.6,17.2,TRUE,"Cold"
2018-08-18,1.7,22,TRUE,"Cold"
2018-08-21,4.4,16.8,TRUE,"Cold"
2018-08-23,3.3,16.6,TRUE,"Cold"
2018-08-28,4,13.7,TRUE,"Cold"
2018-08-29,1.7,15.3,TRUE,"Cold"
2018-08-30,2.1,16.4,TRUE,"Cold"
2018-09-21,4.7,20.2,TRUE,"Cold"
2018-11-02,18.9,36.3,TRUE,"Hot"
2018-12-30,19.2,35.4,TRUE,"Hot"
2019-01-05,19.3,37.9,TRUE,"Hot"
2019-01-27,22,35.5,TRUE,"Hot"
2019-01-31,20.6,38.8,TRUE,"Hot"
2019-02-12,16.4,36,TRUE,"Hot"
2019-03-06,18.5,35.2,TRUE,"Hot"
2019-05-27,4.4,19,TRUE,"Cold"
2019-05-28,4.8,18.7,TRUE,"Cold"
2019-06-06,2.2,17.8,TRUE,"Cold"
2019-06-15,4.7,19.5,TRUE,"Cold"
2019-06-20,4.2,15.3,TRUE,"Cold"
2019-06-22,4.9,14.5,TRUE,"Cold"
2019-06-23,4.8,15.6,TRUE,"Cold"
2019-07-01,3.8,17.1,TRUE,"Cold"
2019-07-02,3.7,20.2,TRUE,"Cold"
2019-07-03,3.7,18.5,TRUE,"Cold"
2019-07-10,4.6,16.7,TRUE,"Cold"
2019-07-14,4.1,16.3,TRUE,"Cold"
2019-07-19,2,20.1,TRUE,"Cold"
2019-07-20,2.4,19.8,TRUE,"Cold"
2019-07-21,2.4,23.2,TRUE,"Cold"
2019-07-23,3.7,22.6,TRUE,"Cold"
2019-07-24,4.7,19.2,TRUE,"Cold"
2019-07-25,4.1,19.2,TRUE,"Cold"
2019-07-26,3.8,18.1,TRUE,"Cold"
2019-07-28,4.4,18.2,TRUE,"Cold"
2019-07-29,4.2,20,TRUE,"Cold"
2019-08-03,4.4,20.7,TRUE,"Cold"
2019-08-06,2,20.9,TRUE,"Cold"
2019-08-07,1.6,22.5,TRUE,"Cold"
2019-08-08,3.1,19.9,TRUE,"Cold"
2019-08-12,4.4,17.8,TRUE,"Cold"
2019-08-13,2.8,17.8,TRUE,"Cold"
2019-08-15,3,20.3,TRUE,"Cold"
2019-08-16,1.6,24.1,TRUE,"Cold"
2019-08-21,3.6,21,TRUE,"Cold"
2019-08-24,1.4,24.6,TRUE,"Cold"
