"year","month","date","n_obv","n_hot","n_cold","min_temp","max_temp","min_actual","max_actual","mean_actual","sum_actual","min_forecast","max_forecast","mean_forecast","sum_forecast","mae","rmse","max_abs_error","mae_hot","mae_normal","mae_cold","rmse_hot","rmse_normal","rmse_cold"
"2010",1,2010-01-01,48,0,0,22.1,28.8,6198.61,8883.98,7801.35291666667,374464.94,6072.26,8828.45,7740.51645833333,371544.79,115.415208333333,137.215602937798,358.77,NA,115.415208333333,NA,NA,137.215602937798,NA
"2010",1,2010-01-02,48,0,0,22.2,29.4,6140.82,9294.07,8017.45979166667,384838.07,5945.8,9196.87,7932.04395833333,380738.11,113.290416666667,128.805913069496,235.119999999999,NA,113.290416666667,NA,NA,128.805913069496,NA
"2010",1,2010-01-03,48,0,0,17.9,21.5,6059.53,8247.61,7399.89958333333,355195.18,6026.67,8293.91,7425.77354166667,356437.13,63.6989583333333,78.7153235690697,183.52,NA,63.6989583333333,NA,NA,78.7153235690697,NA
"2010",1,2010-01-04,48,0,0,17.9,23.9,6067.46,9468.92,8241.72020833333,395602.57,6052.16,9638.88,8318.68333333333,399296.8,88.890625,115.58941292891,269.84,NA,88.890625,NA,NA,115.58941292891,NA
"2010",1,2010-01-05,48,0,0,15.4,27.7,6313.4,10687.29,8827.813125,423735.03,6337.73,10702.59,8858.89979166667,425227.19,83.6379166666667,101.741095310597,207.42,NA,83.6379166666667,NA,NA,101.741095310597,NA
"2010",1,2010-01-06,48,0,0,20.3,25.6,6568.49,10879.15,9021.721875,433042.65,6430.37,10963.49,9046.03416666667,434209.64,101.543541666667,113.904886701947,275.279999999999,NA,101.543541666667,NA,NA,113.904886701947,NA
"2010",1,2010-01-07,48,0,0,20.5,23.6,6415.95,9864.35,8566.8475,411208.68,6375.51,10002.94,8628.15916666667,414151.64,90.5424999999998,114.879763212819,304.83,NA,90.5424999999998,NA,NA,114.879763212819,NA
"2010",1,2010-01-08,48,0,0,19.7,26.3,6429.62,10659.19,8926.81104166667,428486.93,6484.91,10650.51,8937.91833333333,429020.08,81.3618749999999,103.056085508895,244.209999999999,NA,81.3618749999999,NA,NA,103.056085508895,NA
"2010",1,2010-01-09,48,4,0,18.3,36.3,6471.51,11524.52,9242.46020833333,443638.09,6393.65,11322.19,9131.32708333333,438303.7,123.484791666667,150.640979159336,368.320000000002,9.56979166666664,113.915,NA,50.6384605767526,141.874771938143,NA
"2010",1,2010-01-10,47,0,0,22.1,29.5,6752.77,10976.44,9151.7529787234,430132.39,6800.73,11139.66,9163.17085106383,430669.03,137.12,184.162023864972,520.5,NA,137.12,NA,NA,184.162023864972,NA
"2010",1,2010-01-11,47,0,0,21.7,26.4,6620.38,11671.17,9545.9985106383,448661.93,6637.3,11751.54,9549.97446808511,448848.8,128.895106382979,160.275535655905,437.540000000001,NA,128.895106382979,NA,NA,160.275535655905,NA
