horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,182.66133,247.00142,2.1872993,8.678246
2,235.7327,316.39697,2.8087986,24.495905
3,294.72937,391.08447,3.5015697,34.645126
4,356.28812,469.77277,4.2193766,32.92017
5,412.97638,542.023,4.883077,27.344812
6,472.0982,615.27985,5.5680976,23.887022
7,512.59235,664.3949,6.0253367,19.507149
8,547.7043,708.7793,6.4085646,16.75688
9,576.44226,744.64545,6.7158446,11.27616
10,600.7773,780.1667,6.970288,14.670058
11,628.3936,816.9054,7.264772,9.9433565
12,651.02625,846.93146,7.5169415,11.415691
13,666.8227,869.3018,7.6886387,15.963389
14,681.6181,887.6735,7.8528867,16.372398
15,689.3377,894.03156,7.939028,5.3078637
16,699.67035,906.1325,8.054831,11.027099
17,705.4119,914.5222,8.115525,11.785426
18,716.14764,925.0759,8.260749,20.608261
19,727.26575,940.37036,8.4088,30.482327
20,736.2986,955.5404,8.532478,44.82652
21,741.94727,966.09467,8.608303,44.33767
22,750.62274,980.04535,8.7071,45.109035
23,752.9553,989.8389,8.723096,47.042484
24,756.3383,994.74164,8.763493,44.271805
25,753.8769,994.2548,8.736068,39.97056
26,750.07385,996.26715,8.70119,46.94301
27,749.2596,1000.7717,8.701725,46.374695
28,746.33826,1001.4953,8.666667,45.0562
29,742.7052,1001.23615,8.613708,47.345272
30,736.9103,999.5118,8.532799,54.859325
31,732.66266,997.21344,8.463843,52.008114
32,728.51654,994.82263,8.401912,43.298706
33,727.38153,995.60126,8.362427,24.282911
34,722.9207,988.9109,8.302401,4.6108813
35,721.2807,987.46875,8.268951,-5.374326
36,721.3961,985.7716,8.263811,-24.696558
37,716.9339,980.09314,8.215804,-25.605639
38,714.14886,973.70844,8.185647,-35.535297
39,711.5503,968.0953,8.155525,-48.171227
40,708.0929,965.1763,8.123318,-44.561928
41,708.7499,967.44714,8.132466,-47.10563
42,711.04926,970.2455,8.160082,-50.502926
43,713.5641,972.8164,8.186384,-57.340767
44,718.5576,981.53925,8.233368,-48.54217
45,721.69965,985.18195,8.270118,-46.50309
46,726.52966,989.6843,8.321801,-53.037666
47,733.63824,996.03796,8.401881,-69.53269
48,743.5554,1004.6373,8.525231,-85.01039
