horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,142.96237,190.70193,1.8605599,-4.415979
2,177.90001,238.0246,2.3080804,6.530064
3,213.92863,289.0457,2.771107,14.4785385
4,251.12292,343.38223,3.257062,20.404873
5,285.52313,393.65964,3.7110085,26.261618
6,322.0605,445.8797,4.19423,29.079536
7,347.91394,483.34058,4.5327125,36.439514
8,370.34967,516.9902,4.820651,48.42499
9,385.64874,540.47736,5.0128145,64.07024
10,394.40662,555.6971,5.1178823,78.839066
11,404.90158,570.83154,5.24828,88.18158
12,408.98096,578.84674,5.3027596,100.71735
13,409.4441,584.8352,5.311236,124.073654
14,412.93942,591.52136,5.3614154,139.8942
15,414.65018,594.50934,5.3875895,148.84766
16,419.00262,602.1429,5.4409204,158.37987
17,421.3027,606.8405,5.4713054,168.46155
18,426.17648,614.00244,5.5343146,175.59135
19,429.07953,620.8286,5.5676317,184.57085
20,430.98676,624.6084,5.593147,192.36641
21,430.60672,624.7562,5.5920486,192.75972
22,434.61908,629.32007,5.6466794,192.08572
23,436.0497,632.62994,5.66734,192.08911
24,441.949,639.10126,5.747225,196.06609
25,444.38837,640.34015,5.7789354,192.43686
26,445.9258,641.1126,5.8017144,194.02356
27,448.22534,642.5236,5.829947,192.21606
28,447.9047,640.0019,5.823733,181.95807
29,448.76617,641.0344,5.837537,182.77185
30,448.9729,641.0426,5.840949,187.98819
31,450.18317,641.0413,5.854009,194.45164
32,452.22794,641.2556,5.8845515,195.93407
33,451.54956,639.5671,5.873862,190.15024
34,449.4557,637.2604,5.8427334,182.8245
35,446.2208,635.75696,5.798279,181.60161
36,442.86176,632.3318,5.75969,173.62025
37,440.47934,631.415,5.7309685,180.05774
38,439.13928,629.6298,5.7168427,179.87535
39,434.66428,624.65326,5.6584744,177.861
40,431.69232,623.68097,5.62169,187.8677
41,428.65442,622.2699,5.5791965,191.43898
42,428.6501,623.681,5.568425,195.12216
43,430.08838,625.59644,5.5829554,199.82864
44,437.3527,634.4265,5.6792245,216.52055
45,444.88986,642.16345,5.7896905,232.58875
46,448.2637,647.0491,5.844294,233.57082
47,451.3494,650.75806,5.888895,229.18576
48,461.74014,660.6871,6.0274606,229.54533
