horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,184.36041,241.2031,2.2231367,35.18108
2,231.40036,308.46414,2.7950335,24.566843
3,285.8921,383.27164,3.4416397,3.1951816
4,341.7093,457.25824,4.098214,6.5079083
5,393.71686,523.539,4.6895614,0.89526176
6,437.01035,583.1466,5.1636186,6.127246
7,477.4332,639.66003,5.6140227,29.39968
8,518.7275,695.39734,6.064864,32.271248
9,554.54156,744.4589,6.4510055,33.697636
10,581.43933,781.6256,6.7347603,40.70161
11,602.4988,808.7247,6.961408,46.27463
12,619.0378,827.81635,7.1476526,59.474415
13,635.1604,844.62744,7.3290153,71.62614
14,651.6698,863.7435,7.5147686,72.71753
15,664.64514,879.2644,7.656773,61.595848
16,679.94574,899.93896,7.826812,62.209454
17,688.8602,915.5773,7.929672,65.10518
18,695.7963,929.3695,8.004441,67.42682
19,706.97833,946.1788,8.122491,60.80042
20,717.94403,964.7633,8.241073,60.0902
21,725.5331,977.4505,8.324175,53.707222
22,737.1411,994.76807,8.450278,43.659008
23,746.04333,1008.90027,8.545799,31.577433
24,750.96375,1016.7815,8.594838,18.012178
25,754.2369,1021.93616,8.618084,-1.337626
26,757.23865,1031.6366,8.652544,6.088178
27,758.0639,1036.9226,8.672524,8.189835
28,761.5078,1047.6409,8.709015,12.144983
29,762.0491,1048.6842,8.713418,17.96489
30,756.40857,1039.0472,8.65606,17.433813
31,747.0391,1025.1473,8.554066,7.148205
32,740.42175,1015.72156,8.482739,-8.87649
33,733.9938,1007.76416,8.409379,-32.859985
34,730.7086,1003.13324,8.379189,-59.11194
35,733.4596,1001.1293,8.434866,-79.42992
36,739.571,1002.8819,8.503462,-104.95491
37,737.7011,999.79236,8.468391,-107.408
38,736.35626,997.19086,8.430347,-114.24094
39,733.3335,991.95135,8.376982,-123.76365
40,725.1346,979.69476,8.258208,-137.04619
41,718.9657,969.7936,8.162411,-164.8488
42,719.1395,967.04456,8.132455,-198.03088
43,725.49335,970.68555,8.179925,-225.88107
44,729.1327,972.0972,8.20624,-243.93222
45,732.31396,976.91113,8.220852,-259.8734
46,733.2837,981.4013,8.215226,-268.28458
47,738.6754,993.1568,8.254351,-285.3928
48,755.298,1017.4398,8.425427,-306.621
