horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,151.62952,200.72952,1.971418,16.547007
2,182.14122,246.6888,2.348386,-3.0047672
3,218.78262,297.80722,2.8156786,-27.797728
4,249.31992,340.5823,3.2096379,-28.393816
5,278.97897,380.50903,3.5925138,-24.58265
6,299.58862,410.57465,3.8553762,-14.003235
7,314.40643,436.35916,4.046363,8.343489
8,330.64304,461.82175,4.2590547,18.62736
9,346.90872,486.85703,4.474983,31.209574
10,360.7618,508.74277,4.656551,44.85602
11,375.47775,528.48865,4.865351,64.99964
12,384.47455,539.7346,4.9988585,79.24722
13,390.65393,549.3566,5.0918436,93.33688
14,396.47522,559.9267,5.1750364,104.58604
15,401.7117,569.38684,5.2427444,107.96314
16,406.04144,580.3943,5.298539,124.5181
17,409.78146,587.2857,5.3494954,136.88544
18,409.64096,590.0087,5.34334,147.99165
19,407.50375,589.5582,5.311146,154.21475
20,405.8284,590.2582,5.2865667,160.31647
21,404.1538,589.50836,5.2606173,161.62833
22,403.66653,590.19324,5.2477894,154.37463
23,408.2883,595.1501,5.308384,148.68326
24,409.1791,595.84033,5.313101,143.75876
25,413.89078,597.19147,5.3754344,131.99554
26,419.33798,603.92084,5.4491863,136.95938
27,421.36383,607.1565,5.47112,145.70967
28,425.31177,613.8429,5.5170054,151.29778
29,426.49304,617.1105,5.528683,164.36096
30,428.9548,617.4961,5.5689497,172.43726
31,429.75195,615.98303,5.587231,176.44836
32,431.66327,615.219,5.624706,171.99449
33,434.44727,618.3318,5.6748867,166.73451
34,439.87735,621.5157,5.7570987,159.68489
35,443.89343,623.58417,5.813225,155.31306
36,441.27902,620.41705,5.7733593,147.6284
37,437.16757,617.51544,5.706888,151.07776
38,430.16592,609.5902,5.6016192,150.1389
39,424.61612,602.8876,5.5258117,150.52661
40,418.6082,595.83997,5.444846,148.54604
41,414.3087,590.48535,5.374734,135.241
42,410.6087,584.4242,5.3085732,118.62282
43,408.5863,581.79254,5.2735147,111.240395
44,407.7674,580.88983,5.26055,107.99308
45,405.6243,579.72833,5.2277727,103.72972
46,402.32776,579.82526,5.177885,97.18767
47,402.8361,584.18933,5.1765676,83.60548
48,412.64484,597.18225,5.292472,66.24172
