horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,201.75912,266.00165,2.3938186,2.856507
2,251.62213,328.43372,2.9834664,13.903301
3,303.67288,394.30182,3.5729892,-1.908875
4,351.60934,459.6972,4.111192,-11.320252
5,395.21246,518.1115,4.589262,-31.432177
6,429.391,564.1483,4.981346,-38.659492
7,459.84576,602.8976,5.319758,-46.39689
8,487.80853,643.11096,5.6198425,-47.211735
9,515.08606,680.6718,5.898035,-60.204407
10,545.32513,720.69763,6.220108,-76.17189
11,574.91156,758.3767,6.549152,-91.14321
12,607.0643,801.2504,6.9035754,-120.26854
13,624.5818,825.9945,7.09299,-145.45108
14,642.30524,848.02454,7.282386,-185.85828
15,652.13324,860.5263,7.3929114,-206.31625
16,660.0989,872.9546,7.4716477,-221.77005
17,667.2324,884.4559,7.5370526,-242.80656
18,674.2987,893.207,7.632176,-249.31345
19,681.2154,905.3331,7.7100515,-252.6085
20,689.44037,913.70764,7.8100576,-259.83783
21,692.06915,919.7133,7.8275332,-262.8115
22,693.6429,923.6777,7.8474045,-260.0364
23,698.4912,931.66034,7.894583,-270.36984
24,702.88257,938.6733,7.9506407,-269.9815
25,710.2441,952.23615,8.031267,-272.81546
26,716.9813,964.76886,8.100893,-285.59464
27,726.10846,981.8959,8.187787,-279.00452
28,729.6361,990.2134,8.216052,-277.37177
29,729.65466,993.41,8.193781,-282.22165
30,730.03253,999.26416,8.182122,-281.7765
31,730.7722,1003.72003,8.168048,-295.8343
32,737.1401,1016.86804,8.229075,-310.2452
33,747.1262,1035.2279,8.333292,-315.29822
34,751.45667,1041.3767,8.384083,-316.92477
35,753.16547,1044.213,8.411555,-315.69464
36,757.7923,1048.9052,8.462701,-338.57294
37,754.01575,1038.9806,8.421481,-350.92465
38,750.02856,1032.98,8.370995,-360.50986
39,756.1261,1037.371,8.421731,-384.69373
40,759.016,1038.7006,8.441578,-401.02264
41,770.41504,1046.41,8.560346,-427.68204
42,781.4011,1054.7197,8.68946,-441.6684
43,784.475,1055.5187,8.717794,-445.84085
44,792.109,1063.4982,8.796809,-456.83966
45,796.3233,1070.6232,8.828985,-462.4801
46,802.7926,1087.0021,8.871748,-461.83926
47,814.39886,1104.6067,8.979986,-466.03244
48,826.9731,1121.2952,9.096615,-469.61026
