horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,140.75017,184.31842,1.8323796,-1.1943312
2,174.89809,233.2561,2.2661264,2.4665136
3,214.84549,287.18454,2.778103,-7.414663
4,250.7332,337.6694,3.2339327,-4.257816
5,278.36047,375.92548,3.5803888,-15.810791
6,300.09576,408.279,3.8559437,-10.240677
7,313.905,428.05457,4.028435,-10.276508
8,328.3581,451.2722,4.2149916,9.610148
9,335.37283,463.02753,4.3036385,16.765858
10,343.03632,477.18817,4.4006834,26.33165
11,354.74506,495.65625,4.5529428,34.61742
12,366.5385,510.37988,4.708683,26.585432
13,376.22375,521.4882,4.839987,25.479794
14,386.9092,529.697,4.9877543,13.293931
15,390.0898,533.28253,5.038492,19.360558
16,386.27347,531.39636,4.9913344,27.008165
17,386.85587,534.9925,5.0027156,42.319977
18,388.50815,539.60803,5.029209,59.721638
19,387.1728,543.2884,5.008841,77.947655
20,385.0508,544.7361,4.9745383,82.46459
21,383.59122,544.782,4.9502225,92.14079
22,379.56375,542.3522,4.8938155,103.29251
23,376.78717,539.31464,4.8545046,103.24133
24,376.13443,539.26965,4.849937,111.01248
25,376.35086,538.9331,4.8532085,104.48866
26,382.2459,544.92834,4.931991,104.89326
27,384.47223,547.0575,4.9551253,97.99081
28,387.75592,550.69104,5.002972,94.04709
29,387.18604,550.44073,4.9962635,89.353
30,385.97424,549.6196,4.9782343,83.98449
31,381.35657,544.8442,4.908259,77.19822
32,381.84702,547.1011,4.909993,79.113945
33,383.778,549.246,4.932455,83.64669
34,388.94547,556.6459,5.002024,89.5686
35,391.07053,558.5602,5.036015,92.47651
36,390.6434,556.9851,5.0374737,80.501595
37,389.41672,553.5025,5.0207896,78.40822
38,390.27756,554.00635,5.030401,71.21943
39,386.86652,549.446,4.9683523,60.497395
40,386.58084,548.9824,4.95173,54.216652
41,383.62125,545.63824,4.8938723,42.02512
42,386.0625,549.0231,4.9171557,37.36919
43,385.93243,550.84674,4.905099,33.11049
44,386.2812,552.53546,4.8980317,34.8174
45,386.45056,554.2099,4.8929424,39.032505
46,383.49377,555.19,4.8507543,49.19383
47,386.09903,561.1462,4.8874307,50.133884
48,393.09113,570.0422,4.9751277,49.114994
