horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,216.57431,278.0079,2.5283196,-36.87092
2,250.88208,319.33734,2.9481053,-58.925087
3,286.8386,368.7294,3.3625498,-81.267006
4,320.1959,417.43195,3.7289138,-96.952614
5,351.32584,464.382,4.06609,-107.37805
6,383.82382,508.6383,4.425259,-115.68994
7,420.4893,553.50806,4.8325334,-143.27475
8,451.71158,590.5759,5.1703143,-166.80286
9,478.60223,624.0244,5.4578037,-173.78398
10,501.3176,655.07874,5.696912,-188.12703
11,524.38806,687.9646,5.93966,-204.96991
12,548.26044,723.0862,6.1821976,-223.29866
13,568.48804,753.28986,6.3952127,-241.32556
14,591.2602,788.6316,6.633784,-268.9778
15,610.343,816.76514,6.836906,-292.59534
16,633.3929,849.73486,7.076455,-318.93878
17,654.3564,882.8432,7.2826,-345.94467
18,683.23914,924.9372,7.5754724,-382.3399
19,703.50616,958.17065,7.7780037,-403.32
20,721.1936,985.46063,7.962117,-422.94342
21,735.1816,1012.9966,8.083948,-442.30722
22,743.73206,1031.371,8.15187,-448.24976
23,751.3147,1046.0847,8.22054,-453.81482
24,759.54584,1060.7043,8.300013,-461.37085
25,768.51416,1075.3563,8.385141,-462.5578
26,773.6424,1083.3544,8.436143,-457.37006
27,784.9506,1097.6014,8.550059,-468.31863
28,786.62915,1101.9647,8.560141,-465.3225
29,794.5375,1111.8691,8.6445055,-472.1557
30,796.2768,1115.9796,8.654765,-473.12344
31,797.50525,1117.67,8.668745,-477.55093
32,804.8067,1126.5325,8.757331,-486.61252
33,809.15497,1130.3702,8.808884,-493.44266
34,822.32556,1149.4285,8.943058,-521.5382
35,826.2856,1159.7028,8.972311,-534.1673
36,832.84625,1171.7443,9.023256,-557.58984
37,840.5311,1182.524,9.101158,-580.50116
38,843.68384,1190.5356,9.12594,-589.5729
39,851.439,1198.2753,9.213023,-604.61316
40,854.28326,1200.8885,9.241853,-608.2967
41,853.9233,1199.5306,9.235978,-603.014
42,860.4973,1206.3833,9.300117,-615.5407
43,866.1026,1212.6326,9.357171,-626.1142
44,868.2043,1218.0952,9.367668,-623.40106
45,876.26526,1234.7399,9.440012,-629.9927
46,881.89435,1244.8715,9.495238,-629.2127
47,882.13336,1238.5865,9.518851,-619.4303
48,878.4509,1229.2949,9.501619,-601.50397
