horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,151.81593,198.28136,1.9587209,-9.602906
2,173.58707,226.86671,2.2443855,-21.738882
3,199.84079,262.30203,2.5788758,-27.543093
4,223.86198,297.29306,2.882369,-25.909668
5,244.2549,327.66595,3.1380692,-24.843122
6,263.365,354.8169,3.3808405,-17.945915
7,275.3939,372.85773,3.5253882,-24.51105
8,287.04855,388.0529,3.6729734,-30.762203
9,293.0314,399.0508,3.73877,-20.256886
10,300.00528,410.60428,3.8282416,-14.251783
11,307.71,422.79095,3.9315875,-10.770679
12,315.36417,436.42126,4.028919,-2.5095577
13,327.43802,452.61734,4.1926665,-0.37020454
14,341.27533,470.2104,4.3781915,-8.591091
15,353.9781,484.27637,4.5558558,-14.228664
16,369.5147,500.45895,4.7596135,-21.525064
17,373.4021,508.01828,4.810291,-22.567528
18,380.8931,518.52936,4.89323,-26.324656
19,376.26855,519.39386,4.813666,-20.184643
20,371.79742,518.1366,4.7415752,-13.599669
21,365.59378,516.43884,4.646802,-2.25266
22,359.5527,513.28613,4.561768,7.3778033
23,357.876,512.9248,4.5402565,10.55611
24,355.8582,511.83466,4.5124707,11.608148
25,353.552,511.73352,4.48363,10.887633
26,351.58636,511.38937,4.460618,16.57307
27,346.34116,508.20764,4.3797307,14.935139
28,344.77014,508.32416,4.3583097,23.229168
29,345.4549,509.7391,4.367042,29.553074
30,346.86713,512.62445,4.382221,28.58471
31,347.0574,515.1111,4.375151,27.43577
32,350.38513,519.8063,4.4101915,23.107632
33,350.43283,520.719,4.406247,18.435389
34,347.64737,520.31946,4.362756,8.010032
35,346.78238,521.0125,4.347867,4.375517
36,346.65372,521.4889,4.3386064,-6.2517867
37,346.46243,522.3758,4.327384,-26.04397
38,346.1194,522.55774,4.3245816,-29.705902
39,347.6759,524.2415,4.3417454,-43.046207
40,347.0209,524.49054,4.3261857,-40.840263
41,345.16043,523.6316,4.29637,-31.23816
42,344.62378,525.0287,4.278601,-35.09881
43,344.61725,528.0708,4.270964,-40.576984
44,343.56158,530.3754,4.24936,-32.957462
45,343.2536,534.21844,4.2360363,-36.078526
46,347.44376,541.06494,4.2880526,-40.178463
47,353.64618,547.4608,4.3734646,-39.91238
48,367.5618,560.0115,4.561915,-29.749454
