horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,156.10417,202.40216,2.0224576,-9.276452
2,179.16975,234.03133,2.3203557,-25.314999
3,207.66827,274.66574,2.6817207,-32.081707
4,231.79208,309.6081,2.9889004,-20.593927
5,249.629,336.6652,3.2110116,-8.568677
6,262.68112,357.34262,3.3740993,-6.702827
7,275.1183,377.4444,3.5259657,-0.74121696
8,283.6565,392.18494,3.6303933,-0.8305572
9,299.6752,412.83704,3.8462293,-1.3053471
10,310.7973,429.28613,4.003274,17.772213
11,321.60944,445.6438,4.141735,35.620007
12,325.6971,457.34744,4.1807876,47.8142
13,331.65985,470.0081,4.2527914,52.595596
14,337.60913,478.6746,4.3305593,51.843628
15,345.66336,490.4707,4.430852,53.23662
16,352.14993,499.30142,4.5138874,44.095627
17,354.96753,504.23102,4.5548954,44.877148
18,362.55188,511.6386,4.653005,27.399305
19,359.05667,510.96603,4.596374,24.955996
20,355.47397,509.7661,4.538882,25.657925
21,350.1528,505.2428,4.4605126,30.585705
22,346.43994,502.01917,4.405898,36.941177
23,341.9304,496.50232,4.3417225,30.533396
24,343.64688,498.3579,4.3585443,23.30376
25,345.88416,500.57913,4.3879623,16.097883
26,348.4872,503.00632,4.425324,17.529594
27,347.65872,503.55298,4.416739,22.358313
28,349.55176,507.47818,4.4420786,22.665928
29,350.80692,509.66968,4.454938,15.651493
30,352.86453,511.59302,4.4847283,13.561946
31,350.92023,509.74075,4.4594855,11.176157
32,350.0573,510.0757,4.4447484,16.672321
33,350.18018,509.92728,4.444641,26.63633
34,348.32224,508.63348,4.416791,30.15846
35,350.165,509.9433,4.440607,31.393969
36,351.8993,512.60614,4.4646983,37.157185
37,351.26575,511.0257,4.453017,33.584133
38,349.9459,509.5331,4.426907,27.7542
39,347.6851,508.6261,4.3828106,10.216425
40,346.60178,508.62564,4.3624563,9.867873
41,344.1511,507.5083,4.318264,-1.7192901
42,343.6532,507.42145,4.30785,-4.335791
43,341.52402,507.8644,4.2659736,-14.247355
44,341.2339,509.8968,4.2495,-12.441546
45,339.15353,509.096,4.2164717,-9.3630295
46,340.02536,512.6852,4.218885,-10.638138
47,345.46243,520.5795,4.2877245,-6.7061286
48,357.97253,533.19464,4.4532304,1.3627956
