horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,238.60297,322.05545,2.78056,-54.86163
2,272.49194,357.13046,3.2024417,-73.66694
3,313.91962,406.31146,3.6931548,-90.829895
4,354.28723,456.14865,4.167252,-110.75473
5,386.9652,499.94336,4.5175967,-115.42378
6,418.29486,543.8746,4.8459196,-146.25153
7,441.60013,577.15753,5.0698476,-160.30054
8,458.20874,604.94336,5.205457,-166.49634
9,477.53595,633.1461,5.388136,-166.40883
10,501.66806,665.1027,5.6283484,-169.73029
11,525.34814,693.0976,5.887741,-171.3667
12,545.55145,715.4334,6.124604,-177.96391
13,553.7971,726.213,6.2282925,-162.99341
14,565.37775,742.30554,6.366756,-159.47557
15,577.11053,758.6322,6.5088444,-178.6876
16,591.4003,779.4001,6.659558,-190.53638
17,611.30695,811.983,6.8675942,-216.25735
18,635.31256,848.3703,7.1220994,-248.52599
19,655.42847,883.21967,7.3344803,-255.31172
20,670.1943,907.30084,7.4882245,-256.3069
21,688.8525,935.4304,7.6854863,-262.12277
22,704.3195,962.4163,7.8448095,-273.47736
23,722.13385,989.08777,8.028842,-278.59888
24,735.9432,1011.29333,8.169911,-296.27426
25,738.7936,1020.9775,8.196093,-311.03036
26,737.9079,1026.2091,8.19679,-322.46014
27,736.7891,1030.5813,8.185223,-324.73834
28,739.221,1042.5851,8.200524,-332.26724
29,738.70435,1048.517,8.174702,-341.2161
30,749.0892,1063.1241,8.287517,-357.75958
31,762.83685,1082.3197,8.438154,-379.16135
32,768.41473,1085.7096,8.523779,-385.89212
33,776.98785,1098.2288,8.619349,-408.41495
34,780.25183,1101.7665,8.650028,-424.8661
35,785.3079,1110.8627,8.703218,-437.96732
36,783.5613,1108.6499,8.688309,-443.6442
37,787.0209,1107.858,8.734582,-455.41318
38,794.931,1113.1116,8.793696,-477.07562
39,802.28375,1119.9897,8.854882,-495.94595
40,807.55725,1124.477,8.889746,-504.3252
41,812.1747,1126.2561,8.937881,-507.21893
42,816.5419,1131.2065,8.972747,-508.76096
43,826.47015,1143.4529,9.076521,-520.7023
44,835.94183,1154.8134,9.169469,-525.9084
45,853.9305,1171.9045,9.365558,-553.9614
46,849.54895,1168.5908,9.3156595,-541.4955
47,854.4339,1173.1659,9.348117,-542.74316
48,851.3359,1170.7762,9.291896,-528.0543
