horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,230.32864,310.71942,2.735077,-24.72304
2,272.9332,360.68463,3.225426,-29.931604
3,311.37473,406.2091,3.6682215,-31.092934
4,347.92438,449.21158,4.0887165,-32.86804
5,385.23187,499.06555,4.4811625,-61.478573
6,411.2314,534.9963,4.7560697,-67.30473
7,443.45715,578.78503,5.09696,-94.000565
8,461.78943,603.9977,5.2929735,-103.0594
9,481.77402,628.70557,5.500435,-117.67136
10,499.82886,651.70416,5.6875424,-140.23883
11,521.5576,678.0073,5.9089828,-161.37529
12,545.3479,710.6409,6.152462,-185.89526
13,559.1353,729.7491,6.3019423,-205.21219
14,585.18115,768.5059,6.5694733,-224.93457
15,604.08093,796.6257,6.7687006,-247.38255
16,624.5094,827.59924,6.972386,-266.9575
17,641.84686,853.1046,7.1599193,-275.37674
18,663.60626,884.998,7.385205,-300.15576
19,687.0486,917.9109,7.6382384,-330.63614
20,703.40765,945.2518,7.798423,-349.80087
21,716.5654,968.7653,7.922279,-360.01096
22,724.27716,983.15625,7.9927363,-350.99472
23,724.8549,991.963,7.983963,-339.36835
24,731.162,1004.4507,8.039421,-344.86386
25,742.7091,1021.5128,8.159091,-362.97388
26,755.22003,1041.5059,8.274878,-384.41733
27,767.39453,1060.292,8.401678,-393.3724
28,776.2367,1074.7864,8.502431,-398.53638
29,784.7084,1085.9622,8.596481,-406.76804
30,790.6478,1098.0487,8.651539,-411.8717
31,797.42175,1106.1362,8.727041,-426.30856
32,799.17535,1114.5469,8.744978,-431.14664
33,805.04126,1123.7308,8.796986,-451.42444
34,807.94135,1128.1528,8.830399,-455.5948
35,806.84576,1129.0233,8.809896,-457.24472
36,814.7431,1141.5895,8.885951,-478.11096
37,815.0473,1142.3954,8.890077,-477.4112
38,824.1862,1153.841,8.987984,-504.19345
39,835.49304,1164.8949,9.122638,-523.07227
40,846.7705,1175.953,9.265126,-541.9791
41,852.03143,1181.6812,9.323811,-555.04425
42,852.5325,1181.0913,9.325438,-556.9841
43,851.0006,1174.1143,9.312618,-550.37506
44,854.12994,1179.8264,9.337637,-563.8846
45,842.27026,1164.5791,9.206204,-542.9155
46,842.16,1164.31,9.215066,-544.73065
47,837.60724,1161.4861,9.167609,-531.7893
48,838.7171,1163.0756,9.191453,-517.6306
