horizon,MAE_MW,RMSE_MW,MAPE_%,Bias_MW
1,164.9029,218.77252,2.1636057,18.048656
2,192.4523,255.84135,2.5052469,15.046107
3,221.14127,294.98315,2.871101,9.344608
4,246.30832,330.26227,3.185704,10.038547
5,267.1208,361.18536,3.440131,-1.401147
6,279.00104,380.79895,3.579439,9.762631
7,290.71628,399.35672,3.7094247,-6.024533
8,298.7369,412.44843,3.812615,0.52062994
9,304.33722,419.93466,3.881919,2.628095
10,308.24957,425.85498,3.9300838,0.9517888
11,312.7005,434.49127,3.9862752,8.288491
12,315.6556,442.54065,4.026394,7.384611
13,314.39163,444.87195,4.0078697,17.720678
14,320.90176,455.9156,4.0872045,14.973755
15,324.30862,462.37463,4.127391,26.638264
16,328.43817,467.86398,4.180106,27.376469
17,334.26895,475.89716,4.2557044,38.223503
18,338.32755,482.46365,4.303668,29.051382
19,341.02484,486.61435,4.3288584,19.64074
20,342.93124,490.78772,4.348556,17.880674
21,342.48392,492.5623,4.338068,26.007076
22,343.0116,493.16666,4.350747,43.971558
23,343.9388,494.56525,4.375595,66.84339
24,343.0378,493.07834,4.3592486,70.80063
25,343.01917,494.58963,4.3479967,56.277397
26,339.67297,492.47275,4.2906857,38.408306
27,346.6205,502.21994,4.3816543,32.528378
28,351.595,508.40707,4.4472175,18.998802
29,356.17087,513.54956,4.5078673,9.974242
30,355.14813,514.539,4.488115,4.9786234
31,357.4819,517.2058,4.5185847,-1.4090049
32,352.9665,512.0368,4.4561887,-11.986317
33,353.13217,512.9598,4.4535475,-18.677559
34,353.49304,513.53687,4.4572916,-19.23419
35,353.149,514.4823,4.4480577,-13.698571
36,352.29578,515.73114,4.425687,-24.900663
37,350.29416,515.11584,4.3972225,-26.362486
38,349.1197,515.4685,4.381405,-30.941319
39,352.26407,519.7026,4.410581,-46.686745
40,357.66833,524.4795,4.4898543,-59.890472
41,354.95377,523.09937,4.4439645,-62.731606
42,350.9699,519.996,4.388597,-56.042023
43,345.10516,515.27075,4.300421,-41.47963
44,343.08588,515.6088,4.267568,-43.723614
45,341.18533,514.1966,4.244365,-29.223833
46,341.04248,516.54034,4.2406163,-27.094275
47,342.07126,520.7782,4.2479105,-21.028652
48,356.2149,536.24115,4.429876,-5.131048
