MAE,RMSE,MAPE,Bias,cohort,model,horizon
1798.5999591553775,2092.4910408803257,21.188289395510232,-119.94116644051701,overall_all,LightGBM,1
1816.6806458993497,2111.445662478458,21.36821465150837,-123.91744526050894,overall_all,LightGBM,2
1817.5930989262374,2118.7182757201367,21.363873167618262,-135.52404109062033,overall_all,LightGBM,3
1809.0562501439408,2116.567825806718,21.228663341052766,-163.53909974449923,overall_all,LightGBM,4
1819.061302833011,2134.365479289572,21.283803430139347,-181.23691064521003,overall_all,LightGBM,5
1818.9888589103045,2142.0192512797366,21.264002923882437,-214.58280219105387,overall_all,LightGBM,6
1826.5120903103307,2150.039555750201,21.31400867988244,-232.58392564685394,overall_all,LightGBM,7
1825.895867468841,2157.0573813500546,21.295413657057583,-241.949789644826,overall_all,LightGBM,8
1826.7078661082926,2160.768800631109,21.26281175873494,-251.45621768981266,overall_all,LightGBM,9
1828.7906228960128,2157.806941535243,21.268399505987944,-264.993895428033,overall_all,LightGBM,10
1838.8690777142715,2170.913194657176,21.332227506296476,-285.7632338316097,overall_all,LightGBM,11
1834.3704919046043,2167.738005647559,21.2778021871775,-275.435473662759,overall_all,LightGBM,12
1584.2475172441812,1829.0935951007255,18.61673682944868,-57.85560480462115,overall_all,LightGBM,13
1571.8428273141726,1820.2031446678563,18.478420026657588,-68.85430714406394,overall_all,LightGBM,14
1564.3893890127995,1816.0424074914,18.402729860181296,-72.18770190472834,overall_all,LightGBM,15
1548.033880440393,1799.0166436024545,18.228148765370364,-78.61844501051137,overall_all,LightGBM,16
1530.2058310766954,1781.7770208848096,18.025657097514564,-77.07442897821312,overall_all,LightGBM,17
1513.7974887919038,1766.5597556927908,17.816452522235345,-91.68204217755815,overall_all,LightGBM,18
1500.715849192487,1754.0303431004595,17.660775293107182,-112.34528072491867,overall_all,LightGBM,19
1493.8833300721217,1748.4706450244125,17.563105381442693,-114.50358011683579,overall_all,LightGBM,20
1475.0859467933174,1725.442073413379,17.337867189178166,-114.15303099026372,overall_all,LightGBM,21
1473.0197638863099,1722.4049121482856,17.309674606951063,-121.7688357307428,overall_all,LightGBM,22
1467.023289887706,1713.5037977523257,17.18755607417609,-148.14383049440232,overall_all,LightGBM,23
1461.1424094319145,1709.0279764655065,17.064756380384562,-187.6386598183344,overall_all,LightGBM,24
629.7168740835275,832.1406547646902,6.839321173387217,-313.20437025932137,overall_all,LightGBM,25
636.9051839378138,843.5627186405708,6.907287695512017,-331.8985969069657,overall_all,LightGBM,26
619.7202255549673,828.6869676456627,6.730165241303529,-327.00074053461015,overall_all,LightGBM,27
629.6013106767995,822.6316383447745,6.906976675376665,-302.4941004364439,overall_all,LightGBM,28
644.2865390720802,842.1810897370702,7.034603702682801,-329.12380087906126,overall_all,LightGBM,29
626.7237466169556,822.1973023359592,6.8793665506451624,-299.4781402444641,overall_all,LightGBM,30
637.9828723029161,841.5935146197601,7.00282401690022,-311.09946440535845,overall_all,LightGBM,31
621.9079652707715,823.1307056826561,6.826702904564992,-291.16696132655954,overall_all,LightGBM,32
646.3613656052565,850.8753631047549,7.100770087643145,-330.1654691218209,overall_all,LightGBM,33
646.3474697616134,861.6500416716046,7.104784320596689,-320.7877345537803,overall_all,LightGBM,34
635.8710657868086,833.669909359094,7.0246555862154665,-284.47026203289056,overall_all,LightGBM,35
644.8573174186615,841.8897886160764,7.142003015026366,-279.5397823183157,overall_all,LightGBM,36
650.5668342373165,855.968851596768,7.17720125642229,-296.4866483503396,overall_all,LightGBM,37
640.9430498470283,842.3619788470683,7.086494727598694,-300.6249024940452,overall_all,LightGBM,38
648.5150271201767,842.2808002932869,7.193005957744292,-294.1991409185249,overall_all,LightGBM,39
652.0759850127904,859.0005688535018,7.179715094985975,-277.028345733077,overall_all,LightGBM,40
637.928418979352,836.0523846539947,7.028696035237248,-287.01003044689764,overall_all,LightGBM,41
633.3528356889692,840.1065202000725,6.983982178967259,-267.83680538219477,overall_all,LightGBM,42
650.6605102408345,864.1157541333401,7.113654665880334,-286.68919953889724,overall_all,LightGBM,43
644.9697965835769,884.4047215527962,6.993924256395492,-313.71184451923045,overall_all,LightGBM,44
642.1150925949694,877.7396225338791,6.971692033139244,-318.5003280972804,overall_all,LightGBM,45
641.4809002954386,889.5921023524568,6.874003217399759,-337.7844843550071,overall_all,LightGBM,46
654.6373325442682,919.0216390605317,7.005761502179726,-336.5420571635286,overall_all,LightGBM,47
648.4857521150939,912.8834455035872,6.95952256212696,-320.6597728360675,overall_all,LightGBM,48
1657.230954151177,2135.6075555331577,17.704406058501824,-1122.82312267658,overall_all,Operator(op_24h_latest),1
1730.1641635687731,2234.9232612506644,18.28702915394059,-1296.6842131350681,overall_all,Operator(op_24h_latest),2
1820.9393680297396,2357.6765339056783,19.079181728633284,-1487.535353159851,overall_all,Operator(op_24h_latest),3
1961.082614622057,2523.977043868533,20.443358822421406,-1725.3668773234199,overall_all,Operator(op_24h_latest),4
2104.8709789343247,2674.7283210245773,21.924457149276893,-1942.2118463444856,overall_all,Operator(op_24h_latest),5
2246.463382899628,2804.6040853077693,23.43636845585639,-2144.9017224287486,overall_all,Operator(op_24h_latest),6
2348.3905700123914,2894.2079225398725,24.542901956895452,-2287.369950433705,overall_all,Operator(op_24h_latest),7
2402.975340768278,2940.018610089461,25.136628581140013,-2364.8892193308548,overall_all,Operator(op_24h_latest),8
2409.3571499380423,2941.2736475817514,25.198916548878476,-2379.684758364312,overall_all,Operator(op_24h_latest),9
2339.9222800495663,2873.5354886456203,24.41182256946521,-2304.4807434944237,overall_all,Operator(op_24h_latest),10
2234.9460223048327,2771.64505981252,23.26268547682828,-2172.894795539033,overall_all,Operator(op_24h_latest),11
2041.3505824039655,2585.8809055257793,21.199855879988473,-1906.7744237918216,overall_all,Operator(op_24h_latest),12
1879.9216480793061,2421.8984458517675,19.608938808665684,-1619.2096530359354,overall_all,Operator(op_24h_latest),13
1747.0928252788103,2279.7037471771537,18.506058191160324,-1268.528066914498,overall_all,Operator(op_24h_latest),14
1699.0907063197026,2213.9789154961954,18.40895502280797,-953.30780669145,overall_all,Operator(op_24h_latest),15
1702.9007063197027,2206.0856709971754,18.733690731809467,-762.2833581164807,overall_all,Operator(op_24h_latest),16
1717.2016356877323,2221.7959020119906,19.03862108730073,-654.7422552664187,overall_all,Operator(op_24h_latest),17
1700.3073853779429,2211.014042099426,18.868221286695807,-627.7257496902106,overall_all,Operator(op_24h_latest),18
1685.7673977695167,2201.767866669366,18.585191467981893,-703.7010037174721,overall_all,Operator(op_24h_latest),19
1677.1898760842628,2202.9385618627975,18.384672974843944,-774.1132961586122,overall_all,Operator(op_24h_latest),20
1685.7515861214374,2218.4475929867876,18.36422150877262,-864.3845724907063,overall_all,Operator(op_24h_latest),21
1708.5732342007436,2238.8209751488716,18.52932213856175,-939.0164560099131,overall_all,Operator(op_24h_latest),22
1737.9674473358118,2271.143495336336,18.755083545567626,-1013.773345724907,overall_all,Operator(op_24h_latest),23
1769.5141759603468,2303.8745824833086,19.026271690254866,-1080.0530607187113,overall_all,Operator(op_24h_latest),24
1795.5544237918214,2333.5632339443055,19.278702151073666,-1112.2863940520447,overall_all,Operator(op_24h_latest),25
1808.957149938042,2353.95215428278,19.41878716519218,-1119.0187608426272,overall_all,Operator(op_24h_latest),26
1822.9678066914498,2370.02026953117,19.616039557569973,-1101.1704584882282,overall_all,Operator(op_24h_latest),27
1830.4477571251552,2374.401332980532,19.75735386781451,-1068.044733581165,overall_all,Operator(op_24h_latest),28
1829.856840148699,2367.3642623402557,19.82273780377793,-1011.6380793060717,overall_all,Operator(op_24h_latest),29
1811.8566542750928,2343.623051302202,19.71216536012215,-927.165229244114,overall_all,Operator(op_24h_latest),30
1778.7818587360598,2304.3068398923615,19.479381181634306,-796.684535315985,overall_all,Operator(op_24h_latest),31
1740.3186245353158,2252.452848987223,19.22328185951418,-637.6063568773234,overall_all,Operator(op_24h_latest),32
1702.4876084262698,2192.8412877415544,19.070261296351983,-433.3110532837671,overall_all,Operator(op_24h_latest),33
1680.1528128872367,2144.932558966077,19.16178342702968,-208.50426270136305,overall_all,Operator(op_24h_latest),34
1684.9714869888476,2126.2137761324684,19.652560393129587,54.68412639405208,overall_all,Operator(op_24h_latest),35
1740.8678438661711,2166.069326925837,20.706766569235395,289.24987608426267,overall_all,Operator(op_24h_latest),36
1830.8990086741017,2259.2736842014415,22.13330344046181,509.43717472118965,overall_all,Operator(op_24h_latest),37
1852.6466047087981,2286.2655987083067,22.480825645202664,551.764399008674,overall_all,Operator(op_24h_latest),38
1822.839863692689,2250.674931251334,22.029738862175712,472.94992565055765,overall_all,Operator(op_24h_latest),39
1770.2660594795539,2190.1336123292567,21.20435355394175,328.3820693928128,overall_all,Operator(op_24h_latest),40
1733.0308550185875,2150.6745225630916,20.51765892210515,158.97221809169767,overall_all,Operator(op_24h_latest),41
1718.397149938042,2136.1521781590213,20.055485798808768,-30.231871127633095,overall_all,Operator(op_24h_latest),42
1718.7093804213137,2137.9455499380706,19.70806236071833,-243.4407063197027,overall_all,Operator(op_24h_latest),43
1694.4567162329613,2127.92191644457,19.111701077027917,-426.7770631970259,overall_all,Operator(op_24h_latest),44
1686.4353035935565,2134.991099606886,18.671909143437247,-622.9300991325898,overall_all,Operator(op_24h_latest),45
1693.8128004956632,2150.298258568184,18.525898016947785,-747.0395662949194,overall_all,Operator(op_24h_latest),46
1725.1293184634446,2192.615658856834,18.56632816886459,-928.8083023543991,overall_all,Operator(op_24h_latest),47
